url,inlink_count,min_required,source_count,sample_sources,status
https://senseisandy.com/annual-track,18,5,18,bjj-glossary/bottom-position/index.html|bjj-glossary/choke/index.html|bjj-glossary/drilling/index.html|bjj-glossary/frames/index.html|bjj-glossary/open-mat/index.html|bjj-glossary/position/index.html,pass
https://senseisandy.com/bjj-glossary,1257,3,347,after-school.html|annual-track.html|archive/6weekgrandslam.html|archive/classes.html|archive/curriculum.html|archive/openingpress.html,pass
https://senseisandy.com/bjj-glossary/armbar,45,2,12,bjj-glossary/closed-guard/index.html|bjj-glossary/flower-sweep/index.html|bjj-glossary/index.html|bjj-glossary/kimura/index.html|bjj-glossary/mount/index.html|bjj-glossary/posture/index.html,pass
https://senseisandy.com/bjj-glossary/guard,180,2,54,bjj-glossary/armbar/index.html|bjj-glossary/back-control/index.html|bjj-glossary/bottom-position/index.html|bjj-glossary/choke/index.html|bjj-glossary/closed-guard/index.html|bjj-glossary/closed-guard-break/index.html,pass
https://senseisandy.com/bjj-stretches,361,5,345,after-school.html|annual-track.html|archive/6weekgrandslam.html|archive/classes.html|archive/curriculum.html|archive/openingpress.html,pass
https://senseisandy.com/blog/after-school-jiu-jitsu,25,4,12,blog/after-school-jiu-jitsu-calm-routine-catskills/index.html|blog/bjj-sensei/index.html|blog/hunter-elementary-tuesday-drop-off-bjj/index.html|blog/jiu-jitsu-near-windham-mountain-club/index.html|blog/jiu-jitsu-near-windham-mountain-club-ski-families/index.html|blog/kids-jiu-jitsu-windham-ny/index.html,pass
https://senseisandy.com/blog/after-school-jiu-jitsu-calm-routine-catskills,23,4,10,blog/after-school-jiu-jitsu/index.html|blog/bjj-sensei/index.html|blog/jiu-jitsu-near-windham-mountain-club/index.html|blog/jiu-jitsu-near-windham-mountain-club-ski-families/index.html|blog/kids-martial-arts-haines-falls/index.html|blog/kids-martial-arts-haines-falls-beginner-friendly-jiu-jitsu/index.html,pass
https://senseisandy.com/blog/beginner-friendly-bjj-tannersville-links,8,5,6,blog/beginner-friendly-bjj-tannersville-evidence/index.html|blog/catskills-gym-alternative-jiu-jitsu/index.html|blog/index.html|blog/sensei-rules/index.html|blog/tags/starting-jiu-jitsu/index.html|blog/what-does-sensei-mean-in-bjj/index.html,pass
https://senseisandy.com/blog/beginners-guide-bjj-human-chess,3,3,2,blog/growth-over-gold-bjj-mindset/index.html|blog/tags/starting-jiu-jitsu/index.html,pass
https://senseisandy.com/blog/bio-switch-nervous-system,12,4,6,blog/bioginastica-movement-no-gi/index.html|blog/bjj-36-techniques/index.html|blog/gain-points-system/index.html|blog/kinetic-chess-onteora-park/index.html|blog/neck-cranks-bjj-longevity-guide/index.html|blog/wrestle-ups-scramble/index.html,pass
