file,location,before,after,replacements
/home/twizss/Documents/ssbjjweb/tmb/.tmb/preview/adult.rendered.html,text<a>,What to Expect in Your First Class,What to Expect in Your First Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/.tmb/preview/blog.rendered.html,text<a>,What to Expect in Your First Class,What to Expect in Your First Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/.tmb/preview/home.rendered.html,text<a>,What to Expect in Your First Class,What to Expect in Your First Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/.tmb/preview/index.rendered.html,text<a>,What to Expect in Your First Class,What to Expect in Your First Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/.tmb/preview/kids.rendered.html,text<a>,What to Expect in Your First Class,What to Expect in Your First Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/.tmb/preview/schedule.rendered.html,text<a>,What to Expect in Your First Class,What to Expect in Your First Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/deprecated/site-shell.2026-05-24.html,text<a>,Youth Class,Youth Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/deprecated/site-shell.2026-05-24.html,text<a>,Adult Class,Adult Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-master.html,text<p>,"Morning availability is private lessons only. Evening youth and adult classes, plus Saturday Adult No-Gi, are open to visitors.","Morning availability is private lessons only. Evening youth and adult semi-private classes, plus Saturday Adult No-Gi, are open to visitors.",1
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-master.html,text<p>,Gi evening classes,Gi evening semi-private classes,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-master.html,text<p>,Youth Class,Youth Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-master.html,text<p>,Adult Class,Adult Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-master.html,text<p>,Youth Class,Youth Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-master.html,text<p>,Adult Class,Adult Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-master.html,text<p>,Youth Class No-Gi,Youth Semi-Private Class No-Gi,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-master.html,text<p>,Adult Class No-Gi,Adult Semi-Private Class No-Gi,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-master.html,text<p>,Private mornings + Gi evening classes,Private mornings + Gi evening semi-private classes,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-master.html,text<p>,Youth Class,Youth Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-master.html,text<p>,Adult Class,Adult Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-master.html,text<p>,Adult Class No-Gi,Adult Semi-Private Class No-Gi,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-studio-bento.html,text<span>,Youth Class · Adult Class,Youth Semi-Private Class · Adult Semi-Private Class,2
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-studio-bento.html,text<span>,6:30 AM Private Lesson · Youth Class · Adult Class,6:30 AM Private Lesson · Youth Semi-Private Class · Adult Semi-Private Class,2
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-studio-bento.html,text<span>,10:00 AM Private Lesson · Youth Class No-Gi · Adult Class No-Gi,10:00 AM Private Lesson · Youth Semi-Private Class No-Gi · Adult Semi-Private Class No-Gi,2
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-studio-bento.html,text<span>,10:00 AM Private Lesson · Youth Class · Adult Class,10:00 AM Private Lesson · Youth Semi-Private Class · Adult Semi-Private Class,2
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-studio-bento.html,text<span>,10:30 AM Adult Class No-Gi,10:30 AM Adult Semi-Private Class No-Gi,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/schedule-studio-current.html,text<p>,"Morning availability is private lessons only. Evening youth and adult classes, plus Saturday Adult No-Gi, are open to visitors.","Morning availability is private lessons only. Evening youth and adult semi-private classes, plus Saturday Adult No-Gi, are open to visitors.",1
/home/twizss/Documents/ssbjjweb/tmb/_includes/site-shell.html,text<a>,Youth Class,Youth Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/_includes/site-shell.html,text<a>,Adult Class,Adult Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/adult-bjj.html,text<p>,"Attend four classes in your first 30 days. If the program is not
                    the right fit, text Sandy within 30 days for a full refund of your
                    first Core Culture payment.","Attend four semi-private classes in your first 30 days. If the program is not
                    the right fit, text Sandy within 30 days for a full refund of your
                    first Core Culture payment.",1
/home/twizss/Documents/ssbjjweb/tmb/adult-bjj.html,text<summary>,What kind of training happens in the first class?,What kind of training happens in the first semi-private class?,1
/home/twizss/Documents/ssbjjweb/tmb/adult-bjj.html,text<div>,"A complete adult class usually gives students a safe look at the main Jiu-Jitsu situations: a neutral exchange where one partner's hips are grounded and the other's are elevated, chest-to-chest control, chest-to-back control, and standing engagement when skill level makes it appropriate. Sandy adjusts partners, resistance, and pace for adult classes.","A complete adult semi-private class usually gives students a safe look at the main Jiu-Jitsu situations: a neutral exchange where one partner's hips are grounded and the other's are elevated, chest-to-chest control, chest-to-back control, and standing engagement when skill level makes it appropriate. Sandy adjusts partners, resistance, and pace for adult semi-private classes.",2
/home/twizss/Documents/ssbjjweb/tmb/adult-bjj.html,text<summary>,What should adults wear to a first class?,What should adults wear to a first semi-private class?,1
/home/twizss/Documents/ssbjjweb/tmb/adult-bjj.html,text<div>,"Wear clean athletic clothes you can move in, such as a fitted shirt and shorts or leggings without zippers. Bring a gi if you already have one. If you are starting fresh, come simple and we will guide you before class.","Wear clean athletic clothes you can move in, such as a fitted shirt and shorts or leggings without zippers. Bring a gi if you already have one. If you are starting fresh, come simple and we will guide you before semi-private class.",1
/home/twizss/Documents/ssbjjweb/tmb/adult-bjj.html,text<div>,Yes. Text Sandy First if plans change and we’ll help you find your next best class.,Yes. Text Sandy First if plans change and we’ll help you find your next best semi-private class.,1
/home/twizss/Documents/ssbjjweb/tmb/adult-bjj.html,text<div>,", then use the Free Intro to tour the room, learn safety basics, and choose the right class lane.",", then use the Free Intro to tour the room, learn safety basics, and choose the right semi-private class lane.",1
/home/twizss/Documents/ssbjjweb/tmb/adult-bjj.html,img[alt],Adult students and coach celebrating after class,Adult students and coach celebrating after semi-private class,1
/home/twizss/Documents/ssbjjweb/tmb/adult.html,text<p>,"Tour the studio, walk through safety, and train one patient class. Reschedule classes by text.","Tour the studio, walk through safety, and train one patient semi-private class. Reschedule semi-private classes by text.",2
/home/twizss/Documents/ssbjjweb/tmb/adult.html,text<p>,"who want stress relief, fitness, and practical self-defense in a calm, coached class.","who want stress relief, fitness, and practical self-defense in a calm, coached semi-private class.",1
/home/twizss/Documents/ssbjjweb/tmb/adult.html,text<li>,Beginner-friendly class with coach-led drills.,Beginner-friendly semi-private class with coach-led drills.,1
/home/twizss/Documents/ssbjjweb/tmb/adult.html,img[alt],Action 2. Class energy,Action 2. Semi-Private Class energy,1
/home/twizss/Documents/ssbjjweb/tmb/adult.html,img[alt],"Adults training Brazilian Jiu-Jitsu in a calm, structured class","Adults training Brazilian Jiu-Jitsu in a calm, structured semi-private class",1
/home/twizss/Documents/ssbjjweb/tmb/after-booking-promise.html,text<p>,Your reserved class spot and check-in details.,Your reserved semi-private class spot and check-in details.,1
/home/twizss/Documents/ssbjjweb/tmb/after-booking-promise.html,text<p>,A fast digital waiver to complete before class.,A fast digital waiver to complete before semi-private class.,1
/home/twizss/Documents/ssbjjweb/tmb/after-school.html,text<title>,After-School Jiu-Jitsu Tannersville NY | 5 PM Youth Class,After-School Jiu-Jitsu Tannersville NY | 5 PM Youth Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/after-school.html,text<p>,"Youth Class · Ages 5–17 · Tannersville, NY","Youth Semi-Private Class · Ages 5–17 · Tannersville, NY",1
/home/twizss/Documents/ssbjjweb/tmb/after-school.html,text<p>,"A calm Class where kids and teens move, focus, reset, and build confidence after school.","A calm Semi-Private Class where kids and teens move, focus, reset, and build confidence after school.",1
/home/twizss/Documents/ssbjjweb/tmb/after-school.html,text<li>,Beginner-friendly first class,Beginner-friendly first semi-private class,1
/home/twizss/Documents/ssbjjweb/tmb/after-school.html,text<h2>,A Scheduled Martial Arts Class With a Clear First Step,A Scheduled Martial Arts Semi-Private Class With a Clear First Step,1
/home/twizss/Documents/ssbjjweb/tmb/after-school.html,text<p>,"Parents bring students to the Class and pick up after training. 
          For a quieter start, text Sandy and ask about a 4:00 PM private intro before joining the Semi-Private Class.","Parents bring students to the Semi-Private Class and pick up after training. 
          For a quieter start, text Sandy and ask about a 4:00 PM private intro before joining the Semi-Private Class.",1
/home/twizss/Documents/ssbjjweb/tmb/after-school.html,text<h2>,What Happens in Class,What Happens in Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/after-school.html,text<p>,"Best for most families. Tour the studio, review safety, and try a beginner-friendly first class.","Best for most families. Tour the studio, review safety, and try a beginner-friendly first semi-private class.",1
/home/twizss/Documents/ssbjjweb/tmb/after-school.html,text<h3>,5 PM Youth Class,5 PM Youth Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/after-school.html,text<a>,See Class Times,See Semi-Private Class Times,1
/home/twizss/Documents/ssbjjweb/tmb/after-school.html,text<button>,What time is the after-school Jiu-Jitsu class?,What time is the after-school Jiu-Jitsu semi-private class?,1
